City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
157,luc-la-primaube,44.3144,2.5355,14.67,94,46,1.54,FR,1696302605
158,monroe,43.1501,-77.6831,19.74,93,0,1.54,US,1696302605
159,san luis de since,9.2439,-75.1468,25.26,93,100,3.42,CO,1696302606
160,topoloveni,44.8167,25.0833,11.9,61,1,1.64,RO,1696302606
161,palmer,42.1584,-72.3287,14.23,82,0,0.0,US,1696302606
162,mahenge,-8.6833,36.7167,14.56,79,80,0.5,TZ,1696302606
163,thunder bay,48.4001,-89.3168,18.99,94,100,6.17,CA,1696302309
164,kidal,18.4411,1.4078,30.46,28,17,3.75,ML,1696302606
165,ostersund,63.1792,14.6357,4.25,100,73,2.57,SE,1696302606
166,port mathurin,-19.6833,63.4167,23.59,80,16,6.71,MU,1696302607
167,tura,25.5198,90.2201,26.1,87,22,2.3,IN,1696302443
168,dubbo,-32.25,148.6167,30.07,21,62,11.32,AU,1696302607
169,sangmelima,2.9333,11.9833,20.58,99,100,1.82,CM,1696302607
170,al burayqah,30.4062,19.5739,23.84,59,23,5.57,LY,1696302607
171,callao,-12.0667,-77.15,20.4,77,75,6.17,PE,1696302607
172,zemio,5.0314,25.1361,20.45,98,100,0.5,CF,1696302607
173,atar,20.5169,-13.0499,30.86,15,20,2.81,MR,1696302608
174,brisas de zicatela,15.8369,-97.0419,26.29,69,100,1.03,MX,1696302608
175,new norfolk,-42.7826,147.0587,19.72,55,68,3.77,AU,1696302608
176,quepos,9.4236,-84.1652,26.04,82,100,0.86,CR,1696302608
177,caxito,-8.5785,13.6643,23.34,86,39,1.85,AO,1696302608
178,tabarka,36.9544,8.758,20.38,71,0,2.95,TN,1696302608
179,urangan,-25.3,152.9,23.3,63,58,5.18,AU,1696302609
180,la passe,45.5549,-0.8967,19.99,85,23,6.66,FR,1696302609
181,champerico,14.3,-91.9167,27.9,79,90,2.1,GT,1696302609
182,manggar,-2.8833,108.2667,29.34,66,99,6.35,ID,1696302609
183,quellon,-43.1167,-73.6167,6.35,86,96,1.3,CL,1696302609
184,bokoro,12.3807,17.0568,28.61,51,81,3.67,TD,1696302609
185,paranhos,-23.8928,-55.4311,22.79,57,0,2.69,BR,1696302610
186,bethel,41.3712,-73.414,16.17,88,0,1.54,US,1696302610
187,north bend,43.4065,-124.2243,15.51,100,100,3.6,US,1696302610
188,ilha de mocambique,-15.0342,40.7358,24.75,83,20,6.83,MZ,1696302610
189,iskateley,67.6803,53.1512,3.9,78,55,9.39,RU,1696302610
190,mount isa,-20.7333,139.5,33.87,17,1,6.69,AU,1696302610
191,castillos,-34.1667,-53.8333,10.19,95,62,2.17,UY,1696302611
192,nova sintra,14.8667,-24.7167,23.15,82,15,5.33,CV,1696302611
193,pucallpa,-8.3791,-74.5539,28.02,78,40,1.54,PE,1696302611
194,fortuna,40.5982,-124.1573,14.81,84,0,3.6,US,1696302452
195,pamandzi,-12.7967,45.2794,25.88,83,0,3.6,YT,1696302611
